manufacturer,part_number,l_nom_uh,tolerance,dcr_mohm_max,i_rated_a,i_sat_a,package,shielded,core_material,operating_temp_c,notes
Coilcraft,XAL4030-472MEC,4.7,±20%,44.1,5.1,4.5,XAL4030,True,molded composite,-40…125°C,compact robotics rail inductor
Coilcraft,XAL5030-332MEB,3.3,±20%,26.0,8.5,9.5,XAL5030,True,molded composite,-40…125°C,high-current 5V rail
Coilcraft,XAL7030-472MEC,4.7,±20%,18.5,12.0,14.0,XAL7030,True,molded composite,-40…125°C,excellent thermals
Coilcraft,XFL4020-222MEC,2.2,±20%,52.0,4.5,4.8,XFL4020,True,low-loss composite,-40…125°C,low core loss for high fsw
Coilcraft,XFL5030-332MEC,3.3,±20%,26.0,7.2,8.5,XFL5030,True,low-loss composite,-40…125°C,high-frequency robotics
Wurth,74439346100,10.0,±20%,20.0,10.0,12.0,WE-HCM 12×12,True,composite,-40…155°C,thermal-robust robotics inductor
Wurth,74439347022,2.2,±20%,7.5,20.0,22.0,WE-HCM 12×12,True,composite,-40…155°C,high-current buck
Wurth,744773047,4.7,±20%,39.0,7.0,8.0,WE-PD 7×7,True,ferrite,-40…125°C,compact medium-current
Wurth,74438357010,1.0,±20%,12.0,9.0,10.0,WE-MAPI 5×5,True,metal alloy,-40…125°C,high fsw apps
TDK,VLS6045EX-4R7M,4.7,±20%,28.0,6.2,7.3,6×6,True,metal,-40…125°C,strong mechanical reliability
TDK,SPM10065VT-2R2M,2.2,±20%,6.5,18.0,20.0,10×6.5,True,metal,-40…150°C,heavy-load robotics rails
TDK,SPM6530T-4R7M,4.7,±20%,39.4,5.6,6.2,6.5×3,True,ferrite,vendor spec,mid-current rails
Murata,LQH55DN4R7M,4.7,±20%,40.0,5.0,5.5,5×5,True,ferrite,-40…125°C,compact option
Murata,LQM2HPN2R2MJ0,2.2,±20%,28.0,3.0,3.5,2×1.6,True,ferrite,-40…105°C,miniature low-power rail
Bourns,SRP1038A-3R3M,3.3,±20%,11.0,18.0,20.0,10×10,True,powdered iron,-40…125°C,high-current robotics
Bourns,SRP7028A-4R7M,4.7,±20%,22.0,9.0,10.0,7×7,True,iron,-40…125°C,medium rails
Bourns,SRP1238A-6R8M,6.8,±20%,18.0,20.0,23.0,12×12,True,iron,-40…125°C,24→12V robotics
Sumida,CDRH127 4R7,4.7,±20%,18.0,12.0,14.0,12×12,True,ferrite,-40…125°C,classic high-current
Sumida,CDRH6D28 2R2,2.2,±20%,45.0,5.0,6.0,6×6,True,ferrite,-40…125°C,cost-effective
Sagami,7G18A-3R3M,3.3,±20%,21.0,8.0,9.0,7×7,True,metal,-40…125°C,low acoustic noise
